title,author,length
First Born,Will Dean,Susie Riddell
Only the Dead,Jack Carr,Ray Porter
Atomic Habits,James Clear,James Clear
The Covenant of Water,Abraham Verghese,31 hrs and 16 mins
The Seamstress of Sardinia,Bianca Pitzorno,Carlotta Brentan
Demon Copperhead,Barbara Kingsolver,Charlie Thurston
Lessons in Chemistry,Bonnie Garmus,"Miranda Raison, Bonnie Garmus, Pandora Sykes"
Spare,Prince Harry The Duke of Sussex,15 hrs and 39 mins
Outlive,"Peter Attia MD, Bill Gifford - contributor",Peter Attia MD
Killers of the Flower Moon,David Grann,"Will Patton, Ann Marie Lee, Danny Campbell"
The Last Thing He Told Me,Laura Dave,Rebecca Lowman
Happy Place,Julia Whelan,11 hrs and 3 mins
Greenlights,Matthew McConaughey,6 hrs and 42 mins
It Ends with Us,Olivia Song,"It Ends with Us, Book 1"
Remarkably Bright Creatures,Shelby Van Pelt,"Marin Ireland, Michael Urie"
The Subtle Art of Not Giving a F*ck,Mark Manson,Roger Wayne
The Terminal List,Jack Carr,Ray Porter
I'm Glad My Mom Died,Jennette McCurdy,6 hrs and 26 mins
A Court of Thorns and Roses,Jennifer Ikeda,"A Court of Thorns and Roses, Book 1"
Verity,"Vanessa Johansson, Amy Landon",8 hrs and 10 mins
