title,author,narrator,series,length,releaseDate,language
Shattersoul,Kyle Kirrin,Travis Baldree,"Ripple System, Book 4",20 hrs and 15 mins,06-02-23,English
Hidden Potential,Adam Grant,Adam Grant,N/A,12 hrs,10-24-23,English
The Shift,Tinx,Tinx,N/A,5 hrs and 17 mins,05-23-23,English
Waybound,Will Wight,Travis Baldree,"Cradle, Book 12",16 hrs and 13 mins,06-06-23,English
Light Bringer,Pierce Brown,Tim Gerard Reynolds,"Red Rising, Book 6",13 hrs and 15 mins,07-25-23,English
Love Me Today,A.L. Jackson,"Joe Arden, Andi Arndt",N/A,10 hrs and 47 mins,05-29-23,English
The Ritual,Shantel Tessier,"Wen Ross, Zara Eden",N/A,16 hrs and 46 mins,05-09-23,English
Good as Gold,Sarina Bowen,"Jason Clarke, Lessa Lamb",N/A,10 hrs and 43 mins,06-01-23,English
Terms and Conditions,Lauren Asher,"Morae Brehon, Jason Clarke",N/A,13 hrs and 12 mins,05-23-23,English
Crimson River,Devney Perry,"Lucy Rivers, Connor Crais","The Edens, Book 5",8 hrs and 28 mins,06-01-23,English
The Gift,Sebastian Fitzek,Ari Fliakos,N/A,7 hrs and 8 mins,05-18-23,English
Deadly Fate,Angela Marsons,Jan Cramer,"Detective Kim Stone Crime Thriller Series, Book 18",8 hrs and 14 mins,05-25-23,English
Savannah,SunriseCV,Adam Verner,"System Universe Series, Book 3",14 hrs and 31 mins,05-31-23,English
The Running Grave,Robert Galbraith,N/A,"A Cormoran Strike Novel, Book 7",27 hrs,09-26-23,English
Clue Krewe,Jana DeLeon,Cassandra Campbell,"Miss Fortune Mysteries, Book 24",10 hrs and 1 min,06-13-23,English
False Truth,Helena Marchmont,Nathaniel Parker,"Bunburry - A Cosy Mystery Series, Book 16",2 hrs and 56 mins,05-19-23,English
Primeiro Milhão [First Million],Raiam Santos,Dom Vitor,N/A,2 hrs and 47 mins,05-18-23,Portuguese
Sweet Regret,K. Bromberg,"Ryan West, Stella Hunter",N/A,9 hrs and 24 mins,06-01-23,English
Offside Hearts,Nikki Lawson,"Beth Nicholls, CJ Grey","Love and Hockey, Book 1",13 hrs and 27 mins,05-11-23,English
From the World of Percy Jackson: Sun and the Star,"Rick Riordan, Mark Oshiro",A.J. Beckles,From the World of Percy Jackson,13 hrs and 30 mins,05-02-23,English
