title,author,narrator,series,length,releaseDate,language
1. Identity,Nora Roberts,January LaVoy,N/A,15 hrs and 4 mins,05-23-23,English
2. Atomic Habits,James Clear,James Clear,N/A,5 hrs and 35 mins,10-16-18,English
3. Lessons in Chemistry,Bonnie Garmus,"Miranda Raison, Bonnie Garmus, Pandora Sykes",N/A,11 hrs and 55 mins,04-05-22,English
4. Outlive,"Peter Attia MD, Bill Gifford - contributor",Peter Attia MD,N/A,17 hrs and 7 mins,03-28-23,English
5. The Covenant of Water,Abraham Verghese,Abraham Verghese,N/A,31 hrs and 16 mins,05-02-23,English
6. Fourth Wing,Rebecca Yarros,"Rebecca Soler, Teddy Hamilton","Fourth Wing, Book 1",20 hrs and 47 mins,05-02-23,English
7. Demon Copperhead,Barbara Kingsolver,Charlie Thurston,N/A,21 hrs and 3 mins,10-18-22,English
8. Happy Place,Emily Henry,Julia Whelan,N/A,11 hrs and 3 mins,04-25-23,English
9. Only the Dead,Jack Carr,Ray Porter,"Terminal List Book Series, Book 6",15 hrs and 17 mins,05-16-23,English
10. Spare,Prince Harry The Duke of Sussex,Prince Harry The Duke of Sussex,N/A,15 hrs and 39 mins,01-10-23,English
11. The Last Sip of Wine,Stacey Reynolds,Justine Eyre,The O'Brien Tales,10 hrs and 10 mins,11-15-22,English
12. It Ends with Us,Colleen Hoover,Olivia Song,"It Ends with Us, Book 1",11 hrs and 11 mins,08-02-16,English
13. Remarkably Bright Creatures,Shelby Van Pelt,"Marin Ireland, Michael Urie",N/A,11 hrs and 16 mins,05-03-22,English
14. Greenlights,Matthew McConaughey,Matthew McConaughey,N/A,6 hrs and 42 mins,10-20-20,English
15. A Court of Thorns and Roses,Sarah J. Maas,Jennifer Ikeda,"A Court of Thorns and Roses, Book 1",16 hrs and 7 mins,05-05-15,English
16. The Subtle Art of Not Giving a F*ck,Mark Manson,Roger Wayne,N/A,5 hrs and 17 mins,09-13-16,English
17. The Last Thing He Told Me,Laura Dave,Rebecca Lowman,N/A,8 hrs and 49 mins,05-04-21,English
18. Verity,Colleen Hoover,"Vanessa Johansson, Amy Landon",N/A,8 hrs and 10 mins,05-07-19,English
19. I'm Glad My Mom Died,Jennette McCurdy,Jennette McCurdy,N/A,6 hrs and 26 mins,08-09-22,English
20. Can't Hurt Me,David Goggins,"David Goggins, Adam Skolnick",N/A,13 hrs and 37 mins,11-28-18,English
21. The Housemaid,Freida McFadden,Lauryn Allman,"Housemaid, Book 1",9 hrs and 46 mins,04-26-22,English
"22. Harry Potter and the Sorcerer's Stone, Book 1",J.K. Rowling,Jim Dale,"Harry Potter, Book 1, Wizarding World Collection, Book 1",8 hrs and 18 mins,11-20-15,English
23. The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Alma Cuervo, Julia Whelan, Robin Miles",N/A,12 hrs and 10 mins,06-13-17,English
24. Never Finished,David Goggins,"David Goggins, Adam Skolnick, Jacqueline Gardner",N/A,11 hrs and 6 mins,12-06-22,English
25. Waybound,Will Wight,Travis Baldree,"Cradle, Book 12",16 hrs and 13 mins,06-06-23,English
26. Killers of the Flower Moon,David Grann,"Will Patton, Ann Marie Lee, Danny Campbell",N/A,9 hrs and 4 mins,04-18-17,English
27. How to Win Friends & Influence People,Dale Carnegie,Andrew MacMillan,N/A,7 hrs and 15 mins,09-16-04,English
28. It Starts with Us,Colleen Hoover,"Colin Donnell, Olivia Song","It Ends with Us, Book 2",8 hrs and 41 mins,10-18-22,English
29. 12 Rules for Life,"Jordan B. Peterson, Norman Doidge MD",Jordan B. Peterson,12 Rules for Life,15 hrs and 40 mins,01-23-18,English
30. Shattersoul,Kyle Kirrin,Travis Baldree,"Ripple System, Book 4",20 hrs and 15 mins,06-02-23,English
31. The Terminal List,Jack Carr,Ray Porter,"Terminal List Book Series, Book 1",12 hrs and 3 mins,03-06-18,English
32. Project Hail Mary,Andy Weir,Ray Porter,N/A,16 hrs and 10 mins,05-04-21,English
33. The Body Keeps the Score,Bessel A. van der Kolk,Sean Pratt,N/A,16 hrs and 15 mins,02-16-21,English
34. A Court of Mist and Fury,Sarah J. Maas,Jennifer Ikeda,"A Court of Thorns and Roses, Book 2",23 hrs and 16 mins,05-03-16,English
35. The Mountain Is You,Brianna Wiest,Stacey Glemboski,N/A,5 hrs and 44 mins,04-01-22,English
36. Haunting Adeline,H. D. Carlton,"Teddy Hamilton, Michelle Sparks","Cat and Mouse Duet, Book 1",15 hrs and 47 mins,08-29-22,English
"37. Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Jennifer Kim, Julian Cihi",N/A,13 hrs and 52 mins,07-05-22,English
38. Fairy Tale,Stephen King,"Seth Numrich, Stephen King",N/A,24 hrs and 6 mins,09-06-22,English
39. Hello Beautiful,Ann Napolitano,Maura Tierney,N/A,15 hrs and 6 mins,03-14-23,English
40. A Court of Wings and Ruin,Sarah J. Maas,Amanda Leigh Cobb,"A Court of Thorns and Roses, Book 3",25 hrs and 9 mins,05-02-17,English
41. A Court of Silver Flames,Sarah J. Maas,Stina Nielsen,"A Court of Thorns and Roses, Book 5",26 hrs and 5 mins,02-16-21,English
42. Wool,Hugh Howey,Edoardo Ballerini,"The Silo Saga, Book 1",15 hrs,03-07-23,English
43. The Psychology of Money,Morgan Housel,Chris Hill,N/A,5 hrs and 48 mins,09-08-20,English
44. Mad Honey,"Jodi Picoult, Jennifer Finney Boylan","Carrie Coon, Key Taw, Jodi Picoult, Jennifer Finn",N/A,15 hrs and 12 mins,10-04-22,English
45. The Creative Act,Rick Rubin,Rick Rubin,N/A,5 hrs and 45 mins,01-17-23,English
46. The Light We Carry,Michelle Obama,Michelle Obama,N/A,9 hrs and 59 mins,11-15-22,English
"47. Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,Jim Dale,"Harry Potter, Book 4, Wizarding World Collection, Book 4",20 hrs and 36 mins,11-20-15,English
